Date,Price,Open,High,Low,Vol.,Change %
29-May-14,1462.45,1458.70,1463.75,1446.80,-,0.002400
28-May-14,1458.95,1465.90,1467.50,1451.85,-,-0.004700
27-May-14,1465.85,1479.60,1481.25,1461.85,-,-0.009400
26-May-14,1479.70,1479.65,1483.45,1477.30,-,0.000100
25-May-14,1479.60,1476.45,1481.35,1474.75,-,0.003100
23-May-14,1475.10,1488.80,1490.55,1465.80,-,-0.009500
22-May-14,1489.25,1474.45,1496.95,1473.65,-,0.009900
21-May-14,1474.70,1470.90,1484.25,1469.50,-,0.002700
20-May-14,1470.75,1473.15,1479.40,1466.70,-,-0.001700
19-May-14,1473.25,1468.95,1485.90,1465.35,-,0.002900
18-May-14,1468.95,1467.35,1468.95,1465.45,-,0.001700
16-May-14,1466.40,1472.35,1475.10,1461.25,-,-0.003700
15-May-14,1471.85,1480.85,1481.25,1466.70,-,-0.006000
14-May-14,1480.80,1453.25,1487.35,1452.55,-,0.018900
13-May-14,1453.40,1438.30,1461.00,1435.70,-,0.010600
12-May-14,1438.10,1426.20,1445.35,1422.95,-,0.008300
11-May-14,1426.20,1432.30,1432.30,1425.05,-,-0.003500
9-May-14,1431.15,1438.30,1438.30,1426.65,-,-0.005000
8-May-14,1438.40,1439.00,1443.45,1426.05,-,-0.000500
7-May-14,1439.05,1454.10,1458.65,1433.40,-,-0.010300
6-May-14,1454.05,1451.95,1459.45,1446.85,-,0.001500
5-May-14,1451.90,1441.95,1454.65,1438.45,-,0.007100
4-May-14,1441.70,1440.95,1442.60,1440.05,-,0.001500
2-May-14,1439.55,1424.95,1444.90,1418.75,-,0.010000
1-May-14,1425.25,1427.15,1428.70,1412.30,-,-0.001200
30-Apr-14,1426.95,1429.55,1431.10,1419.80,-,-0.001800
29-Apr-14,1429.50,1419.40,1436.70,1411.35,-,0.007200
28-Apr-14,1419.35,1430.40,1431.95,1414.40,-,-0.007700
27-Apr-14,1430.35,1423.50,1430.35,1423.10,-,0.004400
25-Apr-14,1424.15,1412.75,1429.70,1411.15,-,0.007800
24-Apr-14,1413.10,1406.00,1415.10,1388.20,-,0.004700
23-Apr-14,1406.45,1403.70,1407.45,1398.20,-,0.001900
22-Apr-14,1403.80,1404.80,1413.40,1395.25,-,-0.000900
21-Apr-14,1405.05,1412.80,1418.05,1400.20,-,-0.006100
20-Apr-14,1413.65,1412.35,1417.95,1412.35,-,-0.001100
17-Apr-14,1415.15,1440.65,1442.20,1411.55,-,-0.017600
16-Apr-14,1440.50,1442.25,1446.25,1434.50,-,-0.001200
15-Apr-14,1442.30,1466.40,1467.40,1430.55,-,-0.016700
14-Apr-14,1466.85,1467.20,1471.50,1463.25,-,-0.000100
13-Apr-14,1467.05,1461.05,1468.40,1460.50,-,0.005600
11-Apr-14,1458.95,1454.90,1464.60,1451.65,-,0.002900
10-Apr-14,1454.80,1443.80,1461.90,1442.75,-,0.007500
9-Apr-14,1443.90,1441.80,1447.25,1435.55,-,0.001500
8-Apr-14,1441.75,1429.30,1444.20,1427.10,-,0.008700
7-Apr-14,1429.25,1449.35,1450.75,1427.00,-,-0.014200
6-Apr-14,1449.90,1449.15,1450.75,1448.25,-,0.000600
4-Apr-14,1449.05,1440.10,1451.15,1436.65,-,0.006300
3-Apr-14,1440.00,1437.70,1446.70,1434.20,-,0.001500
2-Apr-14,1437.85,1425.80,1438.95,1425.80,-,0.008600
1-Apr-14,1425.55,1417.50,1436.90,1415.60,-,0.005700
31-Mar-14,1417.45,1414.35,1426.30,1412.80,-,0.002100
30-Mar-14,1414.55,1412.10,1414.80,1409.95,-,0.002400
28-Mar-14,1411.15,1404.15,1411.80,1400.35,-,0.005200
27-Mar-14,1403.80,1415.30,1416.45,1395.75,-,-0.008100
26-Mar-14,1415.20,1423.70,1429.05,1402.80,-,-0.005700
25-Mar-14,1423.35,1434.55,1438.40,1421.55,-,-0.008000
24-Mar-14,1434.80,1440.70,1445.25,1427.50,-,-0.004500
23-Mar-14,1441.30,1437.35,1441.30,1435.35,-,0.003500
21-Mar-14,1436.30,1436.50,1448.45,1434.30,-,-0.000200
20-Mar-14,1436.60,1450.25,1453.90,1424.30,-,-0.009100
