"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 01, 2018","117.125","117.075","117.475","116.575","25.95K","1.10%"
"Oct 31, 2018","115.850","114.550","116.000","113.700","0.40K","1.71%"
"Oct 30, 2018","113.900","114.500","114.500","113.550","0.46K","-0.35%"
"Oct 29, 2018","114.300","114.300","114.675","114.125","0.90K","0.37%"
"Oct 26, 2018","113.875","113.425","115.000","113.350","2.13K","0.46%"
"Oct 25, 2018","113.350","113.675","113.950","113.250","2.03K","0.07%"
"Oct 24, 2018","113.275","113.100","113.775","112.700","3.88K","0.44%"
"Oct 23, 2018","112.775","112.850","112.975","111.900","2.16K","-0.02%"
"Oct 22, 2018","112.800","112.850","113.050","112.300","3.83K","0.49%"
"Oct 19, 2018","112.250","113.250","113.300","112.100","7.95K","-0.73%"
"Oct 18, 2018","113.075","113.050","113.475","111.975","6.83K","0.13%"
"Oct 17, 2018","112.925","112.850","113.150","112.500","2.89K","0.24%"
"Oct 16, 2018","112.650","113.275","113.400","112.450","8.34K","-0.64%"
"Oct 15, 2018","113.375","112.175","113.675","112.050","14.07K","0.93%"
"Oct 12, 2018","112.325","112.775","113.075","112.200","5.47K","-0.27%"
"Oct 11, 2018","112.625","112.375","112.850","112.175","4.31K","0.49%"
"Oct 10, 2018","112.075","112.850","112.900","112.050","20.84K","-1.12%"
"Oct 09, 2018","113.350","113.975","114.475","113.200","3.71K","-0.72%"
"Oct 08, 2018","114.175","113.700","114.450","112.950","6.96K","0.33%"
"Oct 05, 2018","113.800","113.550","114.150","113.350","11.15K","0.15%"
"Oct 04, 2018","113.625","113.150","113.750","112.750","9.25K","0.38%"
"Oct 03, 2018","113.200","113.950","114.025","113.125","9.26K","-0.68%"
"Oct 02, 2018","113.975","113.700","114.100","112.950","10.29K","0.26%"
"Oct 01, 2018","113.675","113.700","114.350","113.275","9.70K","0.20%"
"Sep 28, 2018","113.450","113.150","113.675","112.925","9.49K","0.20%"
"Sep 27, 2018","113.225","113.825","113.825","112.850","12.52K","-0.57%"
"Sep 26, 2018","113.875","112.100","113.950","112.075","12.58K","1.36%"
"Sep 25, 2018","112.350","112.150","112.525","111.900","6.29K","0.16%"
"Sep 24, 2018","112.175","112.650","113.200","111.875","12.94K","-0.80%"
"Sep 21, 2018","113.075","112.700","113.200","112.100","10.16K","0.56%"
"Sep 20, 2018","112.450","113.500","113.575","112.375","17.68K","-0.57%"
"Sep 19, 2018","113.100","113.025","113.425","112.800","14.10K","-0.11%"
"Sep 18, 2018","113.225","113.250","113.575","113.025","18.54K","-0.18%"
"Sep 17, 2018","113.425","113.800","113.975","113.025","39.65K","-0.33%"
"Sep 14, 2018","113.800","111.100","113.800","110.950","47.52K","2.71%"
"Sep 13, 2018","110.800","111.500","111.600","109.175","37.00K","-0.61%"
"Sep 12, 2018","111.475","109.300","111.600","109.175","52.54K","1.99%"
"Sep 11, 2018","109.300","110.075","110.175","109.125","37.81K","-0.77%"
"Sep 10, 2018","110.150","110.350","110.775","109.975","31.25K","0.18%"
"Sep 07, 2018","109.950","108.750","110.100","108.575","29.58K","0.96%"
"Sep 06, 2018","108.900","109.250","109.425","108.625","23.77K","-0.14%"
"Sep 05, 2018","109.050","110.000","110.100","108.700","28.53K","-0.75%"
"Sep 04, 2018","109.875","108.675","110.575","108.175","35.62K","2.04%"
"Aug 31, 2018","107.675","107.175","110.675","102.700","516.53K","-1.94%"
"Aug 30, 2018","109.800","109.000","110.400","109.000","0.74K","0.57%"
"Aug 29, 2018","109.175","107.800","109.200","107.375","1.01K","1.28%"
"Aug 28, 2018","107.800","108.425","108.425","106.700","0.68K","-0.37%"
"Aug 27, 2018","108.200","106.075","108.450","105.700","0.96K","1.84%"
"Aug 24, 2018","106.250","107.625","108.025","105.975","1.77K","-1.57%"
"Aug 23, 2018","107.950","108.025","108.200","107.475","1.33K","-0.25%"
"Aug 22, 2018","108.225","109.000","109.000","107.675","3.06K","-0.96%"
"Aug 21, 2018","109.275","109.175","109.650","108.800","1.77K","0.18%"
"Aug 20, 2018","109.075","109.500","109.575","108.750","1.46K","-0.32%"
"Aug 17, 2018","109.425","108.375","109.750","107.975","2.28K","1.02%"
"Aug 16, 2018","108.325","108.525","109.000","108.100","1.52K","0.00%"
"Aug 15, 2018","108.325","107.800","109.075","107.750","1.74K","0.32%"
"Aug 14, 2018","107.975","107.200","108.075","107.075","1.73K","0.72%"
"Aug 13, 2018","107.200","107.750","108.125","107.050","2.68K","-0.97%"
"Aug 10, 2018","108.250","108.200","108.725","107.150","2.48K","0.00%"
"Aug 09, 2018","108.250","109.775","109.775","107.975","4.35K","-1.43%"
"Aug 08, 2018","109.825","110.000","110.050","109.400","2.55K","-0.23%"
"Aug 07, 2018","110.075","110.600","110.750","109.275","3.97K","-0.29%"
"Aug 06, 2018","110.400","111.100","111.100","110.250","8.49K","-0.25%"
"Aug 03, 2018","110.675","108.525","110.950","108.275","9.34K","1.91%"
"Aug 02, 2018","108.600","109.000","109.075","107.975","6.85K","-0.02%"
"Aug 01, 2018","108.625","107.675","109.200","107.500","12.96K","0.88%"
"Jul 31, 2018","107.675","108.250","108.500","107.550","10.94K","-0.69%"
"Jul 30, 2018","108.425","108.725","109.400","107.900","9.69K","-0.18%"
"Jul 27, 2018","108.625","108.100","109.150","107.450","9.35K","0.63%"
"Jul 26, 2018","107.950","109.775","110.675","106.800","19.90K","-0.99%"
"Jul 25, 2018","109.025","108.250","109.675","107.750","11.86K","0.90%"
"Jul 24, 2018","108.050","108.850","108.900","107.700","12.41K","-0.62%"
"Jul 23, 2018","108.725","109.350","109.400","108.450","14.63K","-0.18%"
"Jul 20, 2018","108.925","108.925","109.350","108.275","15.82K","0.02%"
"Jul 19, 2018","108.900","109.050","109.300","108.550","15.51K","-0.05%"
"Jul 18, 2018","108.950","106.675","109.150","106.350","26.47K","2.37%"
"Jul 17, 2018","106.425","107.475","107.600","106.125","20.37K","-0.47%"
"Jul 16, 2018","106.925","105.250","107.550","104.800","36.11K","2.27%"
"Jul 13, 2018","104.550","105.250","105.300","103.950","33.58K","-0.45%"
"Jul 12, 2018","105.025","104.175","106.075","104.175","38.36K","1.13%"
"Jul 11, 2018","103.850","105.450","105.500","102.700","47.94K","-1.52%"
"Jul 10, 2018","105.450","106.350","106.650","105.100","37.39K","-0.64%"
"Jul 09, 2018","106.125","106.850","107.325","105.775","31.56K","-0.24%"
"Jul 06, 2018","106.375","106.775","108.225","106.250","36.72K","0.00%"
"Jul 05, 2018","106.375","107.375","107.575","106.300","25.24K","-0.07%"
"Jul 03, 2018","106.450","107.400","107.475","106.200","23.64K","-0.42%"
"Jul 02, 2018","106.900","107.175","108.450","106.475","39.05K","-0.09%"
"Jun 29, 2018","107.000","108.100","109.900","107.000","0.37K","-1.11%"
"Jun 28, 2018","108.200","106.850","108.350","106.725","1.11K","1.10%"
"Jun 27, 2018","107.025","105.950","107.175","105.950","1.32K","1.04%"
"Jun 26, 2018","105.925","106.050","106.575","105.750","1.02K","-0.05%"
"Jun 25, 2018","105.975","107.500","107.675","105.900","1.43K","-2.12%"
"Jun 22, 2018","108.275","108.575","108.700","107.900","2.44K","-0.35%"
"Jun 21, 2018","108.650","109.000","109.150","108.250","1.82K","-0.34%"
"Jun 20, 2018","109.025","108.525","109.600","108.150","1.46K","0.46%"
"Jun 19, 2018","108.525","108.000","109.150","106.725","2.08K","0.21%"
"Jun 18, 2018","108.300","108.600","108.775","107.550","1.07K","-0.14%"
"Jun 15, 2018","108.450","105.750","109.150","105.150","3.28K","2.07%"
"Jun 14, 2018","106.250","107.925","108.100","105.700","3.23K","-1.55%"
"Jun 13, 2018","107.925","108.550","108.700","107.750","1.36K","-0.55%"
"Jun 12, 2018","108.525","108.700","109.000","108.050","1.55K","-0.12%"
"Jun 11, 2018","108.650","110.625","110.675","108.100","2.63K","-1.25%"
"Jun 08, 2018","110.025","108.700","110.450","108.675","3.18K","1.52%"
"Jun 07, 2018","108.375","109.000","109.200","108.100","3.49K","0.07%"
"Jun 06, 2018","108.300","107.375","109.350","107.375","6.39K","1.03%"
"Jun 05, 2018","107.200","105.200","107.500","105.075","7.10K","2.36%"
"Jun 04, 2018","104.725","105.000","105.875","104.600","6.93K","-0.17%"
"Jun 01, 2018","104.900","105.250","105.775","104.550","10.80K","-0.14%"
"May 31, 2018","105.050","106.325","106.650","103.325","14.44K","-1.01%"
"May 30, 2018","106.125","103.050","106.125","102.850","15.22K","2.91%"
"May 29, 2018","103.125","104.650","104.700","102.850","12.47K","-1.46%"
"May 25, 2018","104.650","104.400","104.950","103.725","9.30K","0.24%"
"May 24, 2018","104.400","105.625","105.725","104.250","8.95K","-1.00%"
"May 23, 2018","105.450","104.500","105.950","104.475","13.41K","0.52%"
"May 22, 2018","104.900","105.000","105.225","104.125","7.77K","-0.02%"
"May 21, 2018","104.925","103.400","105.400","103.325","14.91K","2.47%"
"May 18, 2018","102.400","103.300","103.800","102.275","13.15K","-0.63%"
"May 17, 2018","103.050","102.000","103.575","101.375","24.19K","1.20%"
"May 16, 2018","101.825","102.500","103.750","101.650","26.85K","-1.12%"
"May 15, 2018","102.975","104.525","104.575","102.225","36.78K","-1.58%"
"May 14, 2018","104.625","106.850","106.850","104.625","35.18K","-2.79%"
"May 11, 2018","107.625","107.850","108.050","106.150","46.68K","0.09%"
